id	requirement	authority	exact_source	evidence	verdict	remaining_action	scope_and_assumptions
R11	真实高精度客户端，不经 binary64 丢掉输入	user	TASK.md:17；context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:13–15	project/src/high_precision_client_io.cpp:334–496,607–636,704–756；project/tests/precision_client_io_first_mult2_contract_test.cpp	conditional	采用现有高精度与独立 oracle 证据	客户端 decimal100；运算 160/220；有限舍入拒绝条件
R12	payload 走公钥 Enc 而非私钥替代	paper	references/paper/PAPER-2023-1788.pdf:p.4 §2.1；TASK.md:40	project/src/high_precision_client_io.cpp:607–636；official/src/pke/lib/schemerns/rns-pke.cpp:56–69,148–196	proven	保持当前公钥路径	静态重载事实；不宣称作者 §6.3 API 已知
R13	计算端不持私钥、不解密、不刷新	user	TASK.md:17；context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:13–21	project/src/repeated_mult2.cpp:509–569；project/tests/paper_full_eight_square_contract_test.cpp:188–202,302–325	conditional	继续保留 setup/client 与 evaluator 分界	事后观察阶段用私钥不等于评估时秘密辅助
R14	精确尺度、基、族、评估密钥与收据匹配	explicitprojectacceptance	coordination/paper-scale-integration-01/PRODUCTION_CONTRACT_01.md:96–137	project/src/repeated_mult2.cpp:111–225,257–311,351–397,481–569；独立闭式尺度 oracle	conditional	不改 metadata 冒充算术修复	归属和状态不是任意密文的认证计算
R15	原 dyadic 输入、z^256 truth 与 E80 阈值不变	explicitprojectacceptance	TASK.md:17–19,35；coordination/paper-scale-integration-01/INPUT_DOMAIN_AUDIT_01.md:11–32	project/tests/paper_full_eight_square_oracle.h:97–127,182–195；当前输入头 SHA 与源桥相同	proven	原样保留；本包不修改测试	项目选择，但被当前任务明确保留
R16	原 S100 Linux 冻结八平方 E80 达标	explicitprojectacceptance	TASK.md:35；coordination/paper-scale-integration-01/PRODUCTION_CONTRACT_01.md:147–149	context/current/coordination/fs-endpoint-live-run-01/LINUX_AUDIT.json；evidence/BOUNDED_CHECKS.json	contradicted	保留 FAIL；没有已获依据的修复可派发	一次原始完整链；条件观察模型；非任意样本定理
R17	原 S100 Windows 冻结八平方 E80 达标	explicitprojectacceptance	TASK.md:35；coordination/paper-scale-integration-01/PRODUCTION_CONTRACT_01.md:147–149	context/current/coordination/fs-endpoint-live-run-01/WINDOWS_AUDIT.json；evidence/BOUNDED_CHECKS.json	contradicted	保留 FAIL；不由其他平台／参数补票	一次原始完整链
R18	论文 N32768/16384 槽、h128、八次平方真实执行	explicitprojectacceptance	TASK.md:17,35–38；context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:18–24	S100 双平台审计；S116 coordination/precision116-eight-square-return-01/RUNTIME_REVIEW.md:24–63；annulus 独立运行复核	conditional	已有有界论文规模正反证据；无需凑样本数	流程确已执行不等于其每个数值门禁都通过
R19	负例和边界非平凡且不只自回环	explicitprojectacceptance	context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:16–17；TASK.md:17	project/tests/relin2_test.cpp:4185–4252；project/tests/rs2_test.cpp:685–735；project/tests/repeated_mult2_semantic_two_square_test.cpp:242–261；project/tests/paper_full_eight_square_contract_test.cpp:335–361	conditional	保留现有证据和拒绝契约	选读关键反例；未逐行形式化所有测试文件
R20	60 回归及后续 keyless control 的实际状态	explicitprojectacceptance	TASK.md:39；context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:16–17	CHECK_AND_HANDOFF.zh-CN.md:49–52；coordination/annulus-independent-pro-review-20260908/pro/REVIEW.md:170–172；S116 coordination/precision116-eight-square-return-01/RUNTIME_REVIEW.md:24–27	conditional	按已存审计接受；不声称本轮重跑	最新 Linux 原 GREEN_EVIDENCE.txt 实体副本未随当前包；历史 Windows 另列
R21	公开 API 可用性和编译契约	explicitprojectacceptance	context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:16–17；TASK.md:62	project/include；project/CMakeLists.txt:43–69；S116 coordination/precision116-eight-square-return-01/RUNTIME_REVIEW.md:24–27	conditional	保持已核接口；本轮无源码变更无需再编译	存在 API 源码与历史五个 compile-only target 通过不是新编译
R22	当前 a7f54de 全套 Linux/Windows 再执行通过	agentassumption	TASK.md:39 明确要求区分，不要求此推断	历史 run 各绑定自己的提交；当前只有源码／新增 probe 与 certificate 身份	missing	不作该声明，不为元数据对称新增 CI	当前快照来源可核；没有这一新双平台运行
R23	当前实际 p 是固定输入理想 Ecd 的逐系数最近舍入	paper	references/paper/PAPER-2023-1788.pdf:§2.1 Ecd；TASK.md:25–29	coordination/public-s100-ecd-cell-20260909/green-evidence/execution/certificate/RESULT.json；coordination/public-s100-ecd-cell-20260909/MATH_ADOPTION_REVIEW.md:82–169	proven	完成；不再安排 Ecd 动作	只限哈希绑定 p；证明采用既有严格整数区间数学及执行封套
R24	当前实际 p 满足 canonical radius <127/128	explicitprojectacceptance	coordination/initial-lift-nonwrap-20260909/ADOPTED_CONTRACT.md:9–18	coordination/public-s100-encoder-cap-20260909/ADOPTED_RESULT.zh-CN.md:12–24	proven	完成；复用不重做 forward cap	幅度证书不是 Ecd 对应本身
R25	当前 p 的初始提升与八步非绕回条件闭合	explicitprojectacceptance	TASK.md:29–31；coordination/initial-lift-nonwrap-20260909/ADOPTED_CONTRACT.md:9–18	当前 cap+Ecd；Relin2 有限支持契约；coordination/initial-lift-nonwrap-20260909/root-replay/conditional_spectral_certificate.json	conditional	按明确前提使用；不重开旧证明	固定当前 p、诚实 keys/有限采样支持/整数环；不推出 E80
R26	纯编码的理想八平方误差 <0.424504491253T	explicitprojectacceptance	TASK.md:29；coordination/public-s100-ecd-cell-20260909/MATH_ADOPTION_REVIEW.md:150–169	evidence/BOUNDED_CHECKS.json；δ=N/(2S)=2^-86	proven	只用于编码贡献；不抵销 PKE 或 evaluator 误差	当前 p；本轮仅复核固定标量推论
R27	任意输入都由当前客户端精确理想最近舍入	agentassumption	无此用户／论文运行时实现全称要求	project/src/high_precision_client_io.cpp:418–496；当前 p 是一个严格证书对象	missing	不得宣称全定义或普遍正确舍入；保留明确拒绝区	两个工作精度相同不构成全部有限浮点函数证明
R28	当前 p 等于历史两平台已加密 p	agentassumption	TASK.md:7,31；coordination/public-s100-encoder-cap-20260909/SOURCE_BRIDGE_REVIEW.md:33–44	源片段匹配；historical_coefficient_identity=null；无旧 p 绑定	missing	不转移证书；不请求旧秘密或重新编码来伪造同一性	仅在宣称历史 Ecd 已严格认证时才是必要前提
R29	同一旧起点下 A8=0 足以修复原 E80	agentassumption	无成立依据；TASK.md:36 明确反事实边界	双平台 AUDIT.json；coordination/annulus-independent-pro-review-20260908/ROOT_SCALAR_REVIEW.md:34–46；本轮精确比较	contradicted	排除该修复理由；不宣称所有未来改进都不可能	固定同样起点的反事实；不是别的 fresh run
R30	S116 改参后的两平台完整链 E80 PASS	explicitprojectacceptance	TASK.md:37；coordination/precision116-eight-square-return-01/ACCEPTANCE.md:7–35	coordination/precision116-eight-square-return-01/RUNTIME_REVIEW.md:38–63；run 34055816234	conditional	接受独立实验结果，不改变原门禁	Base58/Div56/S116/QP712；各一条链、既定观察假设
R31	S116 PASS 等于原 S100 修复	agentassumption	TASK.md:37 明确不允许	参数不等；原 S100 AUDIT 仍 FAIL	contradicted	禁止合并标签	数值更好不改变原输入尺度／模数事实
R32	annulus125 单 Linux 样本复数模 E80 PASS	explicitprojectacceptance	TASK.md:38；coordination/s100-annulus125-20260908/RESULT.zh-CN.md:9–31	run 34184869227；独立 Pro；coordination/annulus-independent-pro-review-20260908/ROOT_SCALAR_REVIEW.md:11–32；coordination/annulus-independent-pro-review-20260908/RETURN_DISPOSITION.md:13–52	conditional	接受一次新输入／新随机样本的结果	不是独立重解密，不是 230 位重放产生新密文样本
R33	整个 annulus／所有 keys 都有 E80 或 80 相对位	agentassumption	无该全称验收依据；TASK.md:38	单次样本；coordination/annulus-independent-pro-review-20260908/ROOT_SCALAR_REVIEW.md:48–52	missing	不得作此推广，不把样本反推成支持域	绝对约82.50、相对约73.30；普遍性能未证
R34	必须补一次 Windows annulus 才能判断核心实现	agentassumption	TASK.md:38 要求另证必要性而非自动安排	已有两平台核心／S116完整链；annulus Windows 没有观察	missing	不自动派发；仅标 NOT_RUN	Linux/Windows 工程要求保留，单个新增诊断不自动有对称配额
R35	重现表 3 的 1000 次平均误差数值	paper	references/paper/PAPER-2023-1788.pdf:p.13 §6.3	论文统计说明；用户明确免除1000；无同源统计实验	missing	不得称已重现该统计；不是本轮新增执行门槛	平均 infinity norm 不等于每次最大分量 ≤T
R36	原作者输入法则／具体 χenc、χerr／API／版本已知	paper	references/paper/PAPER-2023-1788.pdf:§2.1,§6.3	context/current/coordination/s100-fresh-error-repair-01/PAPER_EXPERIMENT_PROVENANCE.md:24–66	missing	保持来源空缺和既有停止点；不联系作者	阻断同源实验主张，不阻断对公开定义和固定 OpenFHE 的分析
R37	未知作者设置自动阻断任何工程正确性结论	agentassumption	无用户或论文依据；TASK.md:9–19,41	公开算法可逐阶段核对；当前严格 Ecd 和独立测试不依赖作者未给输入法则	contradicted	以本合约修正笼统总开关	不能由此放弃原实际冻结门禁
R38	h128 自动要求 public PKE 的 v 也只有128非零	agentassumption	paper §2.1 区分 h 与 χenc；TASK.md:40	official/src/pke/lib/schemerns/rns-pke.cpp:148–169；project/src/paper_h128_client_keypair.cpp:193–217	contradicted	不得以此改稀疏 v／私钥 payload／σ找 PASS	公开算法分布是参数；不是作者具体采样的恢复
R39	所有输入／所有密钥的 S100 八平方 E80 保证	agentassumption	无该用户／论文全称保证	原两个失败实例已经与该全称主张矛盾	contradicted	不宣称此保证，也不新增1000样本代替证明	实现正确与精度服务保证是不同合同
R40	论文硬件、速度、内存、单线程统计全部匹配	paper	references/paper/PAPER-2023-1788.pdf:§6,Table 3	当前没有同源性能统计；已有测试耗时含观察成本	missing	禁止把验证耗时写成论文性能重现；不新增 benchmark	不是用户取消千次后自然继承的工程正确性门槛
R41	具体安全级别／部署可用性已认证	paper	references/paper/PAPER-2023-1788.pdf:§6；TASK.md:11,41	手工 profile/HEStd_NotSet；参数图谱与安全边界说明	missing	保留 NOT_CERTIFIED；不得用精度 PASS 作安全证书	不把 universal security proof 升格为本轮算法审查门槛
R42	S116 QP712 继承原安全保证	agentassumption	TASK.md:37	S116 changed-profile 与论文680不等；未给新评估	missing	不继承、不宣称	未认证不等于本轮证明不安全
R43	已完成参数／随机性／13步骤／22改动影响参考	user	TASK.md:15,49	docs/parameter-atlas/README.zh-CN.md；reference 主图谱、docs/parameter-atlas/reference/PARAMETERS.json、docs/parameter-atlas/reference/CHANGE_IMPACT.md、固定源码引用	proven	作为已完成参考复用；旧 pending 按最新采纳覆盖	图谱完成不是所有运行宏／安全性质全已证明
R44	供件当前 Git 源码／载荷可追溯	explicitprojectacceptance	TASK.md:7,47,62	MANIFEST.json；evidence/INPUT_VERIFICATION.json；1006载荷、995blob绑定	proven	保持当前根清单；历史manifest不冒充当前文件哈希	仅给定快照；不认证实时分支
R45	本轮已 commit/push/merge 或核对实时默认分支	user	TASK.md:15 为一般协作期望；TASK.md:68 本轮禁止外部账户动作	仅本地候选 ZIP；无 GitHub 写操作／读取实时分支	missing	交付文件供 owner 采用；不声称已入库	禁止事项不是需要规避执行的完成门槛
R46	当前交付入口清楚区分快照与多类完成标签	explicitprojectacceptance	TASK.md:59–65	CHECK_AND_HANDOFF.zh-CN.md:7–11 仍为9/8旧最新入口；REPRODUCE.zh-CN.md:11 摘引时缺就地S116标签	contradicted	本包 docs/01-completion-labels.patch 与两完整文件修正；仅文档 RED/GREEN	输入状态有歧义；候选新状态通过，不改历史结果
R47	原完整冻结数值验收已经全项通过	explicitprojectacceptance	TASK.md:11,17–19,35	R16/R17 原 S100 FAIL	contradicted	总标签 NOT_ALL_PASSED；不自行豁免原门槛	清除不当作者来源总门禁仍不会令原FAIL通过
R48	必须再有一项加密／编码／通用审核任务	agentassumption	无具体新义务；TASK.md:9,31,64	现有来源对应、证书和误差分解已足以作分项判断；无具体生产RED	missing	不派发；本轮唯一必要文档纠正已交付	这是缺少正当行动依据，不是证明不存在任何未来缺陷
R49	本轮遵守无变换／无编码／无采样／无FHE／无构建／无账户操作	user	TASK.md:68–70	EXECUTION_LEDGER.md；自己编写的纯读取和标量脚本；交付记录	proven	停止于本次ZIP；不自动执行历史命令	33标量检查、文档检查不能记成算法通过
R50	完整目标不因只接受已有子结论而被改成小域目标	user	TASK.md:5,11,17–19	本合约 §§1–2,9–10；OVERALL_FROZEN_ACCEPTANCE=NOT_ALL_PASSED	proven	原S100目标及FAIL不变，作出当前证据下有限裁决	本轮审查完成与论文全目标完成分开
