path	sha256	total_lines	requested_windows	coverage_kind	limitation
coordination/annulus-independent-pro-review-20260908/RETURN_DISPOSITION.md	0cf357d4139719dfe151da237af588dd58f9e17b2e3626581033efe438a89e8a	66	1-66;1-66;13-66	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/annulus-independent-pro-review-20260908/ROOT_SCALAR_REVIEW.md	d14d0a318979c21c013805a2deabe0a2d4dbfe9d13b697c28df8342a79b53e5d	66	1-66	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/annulus-independent-pro-review-20260908/pro/REVIEW.md	3da57153dab8501627dba90e3902bcbde20272706cbeb31291870dd53c5a7042	254	138-192	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/build-provenance-20260908/ASSESSMENT.zh-CN.md	7ccd5a896ef334e5c8de7329a65b81d7f8ad49565e0bfd6f50120d774fce2b7f	44	1-44;1-32	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/initial-lift-nonwrap-20260909/ADOPTED_CONTRACT.md	95a0ced1676453e546b8ece9cf993d7b7280407ffcc22a1030bec6911ee0d121	45	1-45	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/paper-scale-integration-01/INPUT_DOMAIN_AUDIT_01.md	dfcf5dcaa6954ec49d6337b61f1bec52c5658b7cecaf25e885702744148549c9	69	1-69	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/paper-scale-integration-01/NOMINAL_SCALE_AUDIT_01.md	b8e7991ce0f24e1ddddc46bf02a730ab5c0391d6f0084a7b6ee6bd9c5e9dcb1d	30	1-30	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/paper-scale-integration-01/PRODUCTION_CONTRACT_01.md	e7db0be1fe12de0dd9ebabbdea6c2f27e29a49bd7bbcbabca69c701fe7d7378e	174	1-174	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/precision116-eight-square-return-01/ACCEPTANCE.md	823e0994d406bbab8be803d477d5387abcd9cb468f9a940b3652e13b6a764b49	39	1-39	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/precision116-eight-square-return-01/RUNTIME_REVIEW.md	f72832c072213d5cf9221ac51a56b0a64678dbd32908e915fd88277c4e01d907	64	1-64	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-ecd-cell-20260909/ADOPTED_RESULT.zh-CN.md	c1134f928d2e01c09a9d81902a5523061ca6084a158cd9487214eb3cd9836d92	42	1-42	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-ecd-cell-20260909/GREEN_INTAKE.json	aca7d46cfe9c602693edb885514247976e2430ad0ed0f7ea4b8fd08c8b8f71c8	26	1-26	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-ecd-cell-20260909/MATH_ADOPTION_REVIEW.md	9d439b6a58b51cd47991f85c1ea594d9d351405afab4730c27218df6addf0819	216	1-216	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-ecd-cell-20260909/ROOT_INTAKE_REVIEW.md	9091b8bc70d124a57dd61e6ee8626de5218dc02192aac963ced8ce4b2c05a011	15	1-15	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-ecd-cell-20260909/harness_contract.py	7be5bd35b834763963844ba40fae999787c95a58514e9973876cb3ca631f0064	53	1-53	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-encoder-cap-20260909/ADOPTED_RESULT.zh-CN.md	99561db9731f7305301e442b33ecbda252c938cbb26b8677a20d8cd7e63bca44	44	1-44	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/public-s100-encoder-cap-20260909/SOURCE_BRIDGE_REVIEW.md	0be7db6a7f948ccd7bbea3c4e010a79b6f82dd014e2d514b28366a1ac6b8809f	57	1-57;1-57	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/relin2-bound-20260908/ADOPTED_CONTRACT.md	bf3ffa33ef5e9e93c657a3b8eb89daac08ae7f75b0656d83a0eee3b8cda37801	103	1-103	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/reproduction-adjudication-20260909/CANDIDATE_REVIEW.md	6eb8231ff2b97228d1b0248d4b4163e8985e9931e4a010d3467c61c252c5dd42	87	1-87;1-49	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/reproduction-adjudication-20260909/MATH_REVIEW.md	16bed758779a74ad2787717ac35bdbbb01c3db4df53ece17d7624c2ba1ceb649	257	1-257	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/reproduction-adjudication-20260909/pro/candidate/check_rounding.py	e1a243ec8246383cc3776efc86a153d82217a9b60d8cafd36acb98fcb11235e9	214	1-165	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/s100-annulus125-20260908/INDEPENDENT_RESULT_REVIEW.md	e071bc7e344c102d47af0e71da2bba52f33a75f0b48a60a2d36ab97ffa2378d9	145	1-145	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
coordination/s100-annulus125-20260908/RESULT.zh-CN.md	871727b3c6b3de5017e29ea5df736ccd1b700996464fbd963ce4e7004f3d2c80	61	1-61	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
docs/parameter-atlas/README.zh-CN.md	220e8486716ab46d49fce22c26d12884ab771fbe1a21fbb41af005eaa4c2de65	230	1-230;178-230	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
docs/parameter-atlas/REVIEW_NOTES.zh-CN.md	4499e50d3167465534c58c87505916b9e7b12763a7c0be1e5cfa726105894e61	64	1-64;1-64	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
docs/parameter-atlas/reference/CHANGE_IMPACT.md	eda6418c2089d18b78d82be77b2bafb35e252e87601a02577596e57264b41918	95	1-95	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
docs/parameter-atlas/reference/OPENFHE_CKKS_PARAMETER_ATLAS.zh-CN.md	3d063866a423d3526b38669c0c8d46314624c821855ec1b0d3467b1c5aa085f8	848	1-106;107-194;195-286;287-372;373-464;1-48;327-349	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
official/src/core/include/lattice/hal/default/dcrtpoly-impl.h	31a9cab8e31d5ad46921ec422ec3b4cfa1b013a5d64da1cae9e53cafe884ec41	1973	693-719	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
official/src/pke/lib/keyswitch/keyswitch-hybrid.cpp	872d5e594ac2343f9d055a4e628871987113f67f2142d3a664b2015f17e1d345	437	61-133;381-437	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
official/src/pke/lib/scheme/ckksrns/ckksrns-leveledshe.cpp	68fd392d9aaabe27e7ebf1e1cf354dd4c856da7bfac2d98afd5b6d796214f282	790	172-207	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
official/src/pke/lib/schemerns/rns-pke.cpp	e1103468a406d16202fc66d918b28fdf93d436aeadb86efda4a01032fac3bf19	226	34-83;111-200	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/CMakeLists.txt	80ab789552d829e6e6e2f3e2c69b3b673fd588d4c72e863c504bf7d1147a6ade	365	1-170;191-365	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/diagnostics/public_s100_encoding_dump.cpp	1e6c379ced9665057765c433fa5b2a4447a9e73a5034dc589988341d1d90a80f	90	1-90	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/include/openfhe_2023_1788/double_ckks.h	5b4f0889d642d38c79a9f4570c9b6a1583bc6bb2804325271beca05bd4a5ee7a	202	1-202	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/include/openfhe_2023_1788/high_precision_client_io.h	1fda66deb55db1743b32f28f8c9325090aa86b2ee1eb5b7f782ce3fccaf48289	177	1-177	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/include/openfhe_2023_1788/repeated_mult2.h	f95acc03b0feecd78a4763c9f776cbb3e0f6429860d71e81cc6ceb75e47f7cf3	126	1-126;1-95	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/src/double_ckks.cpp	c530b53d600aeb0c295477aebb84bddff2c25b4a139004cdc888edd5dba425eb	1285	1-260;260-525;525-795;795-1035;1035-1285	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/src/high_precision_client_io.cpp	85b2b03954262344544dca96f84f8aa06044fb0fc74ff13f1a2317b67d666ac6	779	1-175;176-355;356-565;563-779	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/src/paper_h128_client_keypair.cpp	679d4fa226b95770282fd5c877bf47044a290949bbaed501bd8f662744a6f22e	219	1-140;141-219	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/src/repeated_mult2.cpp	6781d01ff9b4012e7c6d14d16f482def0821c54f4e81e2de80bd8db9d1aea41b	571	1-205;206-395;396-571;509-544	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/paper_full_eight_square_contract_test.cpp	d3a852d1c2a2ef7db38b2303f52afffd0527ff886ed4655efbbb3ad5c0f4bd90	500	1-180;181-345;346-500	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/paper_full_eight_square_oracle.h	08d6c4dfe6761b84d893d90c120418a29d8a2b96aa05304e95728d72e4c3e203	336	40-180;225-336;182-225;277-336	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/precision_client_io_first_mult2_contract_test.cpp	93640b6c7ba49b4594ad2f84309cbaf48e31974039d403f6941e375558f7d950	846	724-846	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/relin2_test.cpp	8755f906eae1d18cedcca2d8e35879a2f716d46886934ca45d95611692c4bcf0	4724	4185-4254	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/repeated_mult2_semantic_two_square_test.cpp	b3eb681401bade58cb1a81091c33c4307a4595e226531d5a79580f9a5a7d86a3	315	165-315	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
project/tests/rs2_test.cpp	b728c7a75f60472902f23e1d094208a69309b54672eb8392c8553afd88e71c93	1030	670-735	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
references/paper/PAPER-2023-1788.txt	60dd871a2769fddfe7ce7b2562d031d7c8d819a679eff3c2b6ebf3d7ea5769ae	1698	1-250;181-330;330-485;1460-1612	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
